S.N.,Symbol,Company,Listed Share,Paid-up (Rs),Total Paid-up Capital (Rs),Date of Operation,Sector,EPS,PE ratio,Book Value
1,STC,Salt Trading Corporation Limited,"2,788,843.00",100,"278,884,300.00",,Trading,12,20,300
2,BBC,Bishal Bazar Company Limited,"500,000.00",100,"50,000,000.00",,Trading,13,21,301
