S.N.,Symbol,Company,Listed Share,Paid-up (Rs),Total Paid-up Capital (Rs),Date of Operation,Sector,EPS,PE ratio,Book Value
1,NFD,Nepal Film Dev. Company Limited,"491,285.00",100,"49,128,500.00",,Others,,,
2,NTC,Nepal Doorsanchar Company Limited,"180,000,000.00",100,"18,000,000,000.00",,Others,1,1,1
3,NRIC,Nepal Reinsurance Company Limited,"122,325,000.00",100,"12,232,500,000.00",11/7/2014,Others,2,2,2
