S.N.,Symbol,Company,Listed Share,Paid-up (Rs),Total Paid-up Capital (Rs),Date of Operation,Sector,EPS,PE ratio,Book Value
1,SHL,Soaltee Hotel Limited,"88,470,872.00",10,"884,708,720.00",11/25/1966,Hotel & Tourism,8,2,28
2,TRH,Taragaon Regency Hotel Limited,"18,866,540.00",100,"1,886,654,000.00",,Hotel & Tourism,9,3,29
3,OHL,Oriental Hotel Limited,"11,280,904.00",100,"1,128,090,400.00",,Hotel & Tourism,10,4,30
4,CGH,Chandragiri Hills Limited,"15,340,910.00",100,"1,534,091,000.00",,Hotel & Tourism,11,5,31
5,KDL,Kalinchowk Darshan Limited,"6,000,000.00",100,"600,000,000.00",,Hotel & Tourism,12,6,32
